firm name,website,ticker,hq country,hq state,hq city,permno,score,pbid,firm name from pitchbook,website from pitchbook,company profile,investor profile,limited partner profile,service provider profile,unnamed: 14
1-800-FLOWERS.COM,1800flowers.com,FLWS,USA,NY,Jericho,87162,Very High,41134-96,1-800-Flowers.com,www.1800flowers.com,Yes,Yes,No,Yes,true
10X GENOMICS INC,10xgenomics.com,TXG,USA,CA,Pleasanton,18908,Very High,60318-10,10x Genomics,www.10xgenomics.com,Yes,Yes,No,No,true
1LIFE HEALTHCARE INC,onemedical.com,ONEM,USA,CA,San Francisco,19177,Very High,52811-74,One Medical,www.onemedical.com,Yes,Yes,No,No,true
1ST CONSTITUTION BANCORP,1stconstitution.com,FCCY,USA,NJ,Cranbury,89270,Very High,41495-41,1st Constitution Bank,www.1stconstitution.com,Yes,Yes,No,Yes,true
1ST SOURCE CORP,1stsource.com,SRCE,USA,IN,South Bend,36346,Very High,41288-68,1st Source Bank,www.1stsource.com,Yes,Yes,No,Yes,true
22ND CENTURY GROUP INC,xxiicentury.com,XXII,USA,NY,Buffalo,14523,Very High,42426-10,22nd Century Group,www.xxiicentury.com,Yes,Yes,No,No,true
23ANDME HOLDING CO,23andme.com,ME,USA,CA,South San Francisco,20134,Very High,51081-40,23andMe,www.23andme.com,Yes,Yes,No,No,true
2SEVENTY BIO INC,2seventybio.com,TSVT,USA,MA,Cambridge,22245,Very High,482724-46,2seventy bio,www.2seventybio.com,Yes,No,No,No,true
2U INC,2u.com,TWOU,USA,MD,Lanham,14554,Very High,42921-37,2U,www.2u.com,Yes,Yes,No,No,true
3D SYSTEMS CORP,3dsystems.com,DDD,USA,SC,Rock Hill,78664,Very High,41177-71,3D Systems,www.3dsystems.com,Yes,Yes,No,No,true
3M CO,3m.com,MMM,USA,MN,Saint Paul,22592,Very High,10663-66,3M,www.3m.com,Yes,Yes,Yes,Yes,true
4D MOLECULAR THER INC,4dmoleculartherapeutics.com,FDMT,USA,CA,EmeryVille,20292,Very High,110523-70,4DMT,www.4dmoleculartherapeutics.com,Yes,No,No,No,true
5E ADVANCED MATERIALS INC,5eadvancedmaterials.com,FEAM,USA,TX,Houston,22897,No Match,,,,,,,,true
89BIO INC,89bio.com,ETNB,USA,CA,San Francisco,19070,Very High,234048-88,89bio,www.89bio.com,Yes,No,No,No,true
8X8 INC,8x8.com,EGHT,USA,CA,Campbell,85177,Very High,41955-49,8X8,www.8x8.com,Yes,Yes,No,No,true
9 METERS BIOPHARMA INC,9meters.com,INNT,USA,NC,Raleigh,16178,Very High,153627-94,9 Meters Biopharma,www.9meters.com,Yes,Yes,No,No,true
908 DEVICES INC,908devices.com,MASS,USA,MA,Boston,20305,Very High,55145-80,908 Devices,www.908devices.com,Yes,Yes,No,No,true
A V HOMES INC,taylormorrison.com,AVHI,USA,AZ,Scottsdale,16030,Very High,41041-36,AV Homes,www.avhomesinc.com,Yes,Yes,No,No,true
A-MARK PRECIOUS METALS INC,amark.com,AMRK,USA,CA,El Segundo,14532,Very High,61991-92,A-Mark Precious Metals,www.amark.com,Yes,Yes,No,No,true
A10 NETWORKS INC,a10networks.com,ATEN,USA,CA,San Jose,14495,Very High,55095-13,A10 Networks,www.a10networks.com,Yes,Yes,No,No,true
AAC HOLDINGS INC,americanaddictioncenters.org,AAC,USA,TN,Brentwood,14945,Very High,82787-86,American Addiction Centers,www.americanaddictioncenters.org,Yes,Yes,No,No,true
AAON INC,aaon.com,AAON,USA,OK,Tulsa,76868,Very High,41051-44,Aaon,www.aaon.com,Yes,Yes,No,No,true
AAR CORP,aarcorp.com,AIR,USA,IL,Wood Dale,54594,Very High,41268-16,AAR,www.aarcorp.com,Yes,Yes,No,No,true
AARONS CO INC (THE),aarons.com,AAN,USA,GA,Atlanta,20064,Very High,454633-75,The Aaron's Company,www.aarons.com,Yes,Yes,No,No,true
ABAXIS INC,abaxis.com,ABAX,USA,CA,Union City,77279,Very High,41349-79,Abaxis,www.abaxis.com,Yes,Yes,No,No,true
ABBOTT LABORATORIES,abbott.com,ABT,USA,IL,North Chicago,20482,Very High,11906-65,Abbott,www.abbott.com,Yes,Yes,Yes,No,true
ABBVIE INC,abbvie.com,ABBV,USA,IL,North Chicago,13721,Very High,56145-79,AbbVie,www.abbvie.com,Yes,Yes,Yes,No,true
ABCELLERA BIOLOGICS INC,abcellera.com,ABCL,CAN,BC,Vancouver,20276,Very High,122160-79,AbCellera,www.abcellera.com,Yes,Yes,No,No,true
ABEONA THERAPEUTICS INC,abeonatherapeutics.com,ABEO,USA,NY,New York,87656,Very High,40732-39,Abeona Therapeutics,www.abeonatherapeutics.com,Yes,Yes,No,No,true
ABERCROMBIE & FITCH  -CL A,abercrombie.com,ANF,USA,OH,New Albany,83976,Very High,41195-26,Abercrombie & Fitch,www.abercrombie.com,Yes,Yes,No,No,true
ABIOMED INC,abiomed.com,ABMD,USA,MA,Danvers,75107,Very High,40462-39,Abiomed,www.abiomed.com,Yes,Yes,No,No,true
ABM INDUSTRIES INC,abm.com,ABM,USA,NY,New York,47730,Very High,41298-22,ABM Industries,www.abm.com,Yes,Yes,No,No,true
ABRAXAS PETROLEUM CORP/NV,abraxaspetroleum.com,AXAS,USA,TX,San Antonio,76888,Very High,41248-18,Abraxas Petroleum,www.abraxaspetroleum.com,Yes,Yes,No,No,true
ABSCI CORP,absci.com,ABSI,USA,WA,Vancouver,21604,Very High,153409-96,AbSci,www.absci.com,Yes,Yes,No,No,true
ACACIA COMMUNICATIONS INC,acacia-inc.com,ACIA,USA,MA,Maynard,16051,Very High,52800-85,Acacia Communications,www.acacia-inc.com,Yes,No,No,No,true
ACACIA RESEARCH CORP,acaciaresearch.com,ACTG,USA,NY,New York,89611,Very High,42250-78,Acacia Research,www.acaciaresearch.com,Yes,Yes,No,No,true
ACADEMY SPO AND OU INC,academy.com,ASO,USA,TX,Katy,19945,Very High,52235-56,Academy Sports + Outdoors,www.academy.com,Yes,Yes,No,No,true
ACADIA HEALTHCARE CO INC,acadiahealthcare.com,ACHC,USA,TN,Franklin,13105,Very High,10995-58,Acadia Healthcare,www.acadiahealthcare.com,Yes,Yes,No,No,true
ACADIA PHARMACEUTICALS INC,acadia.com,ACAD,USA,CA,San Diego,90177,Very High,14186-89,ACADIA Pharmaceuticals,www.acadia-pharm.com,Yes,Yes,No,No,true
ACADIA REALTY TRUST,acadiarealty.com,AKR,USA,NY,Rye,79235,Very High,41306-41,Acadia Realty Trust,www.acadiarealty.com,Yes,Yes,Yes,No,true
ACCEL ENTERTAINMENT INC,accelentertainment.com,ACEL,USA,IL,Burr Ridge,16874,Very High,108005-68,Accel Entertainment,www.accelentertainment.com,Yes,Yes,No,No,true
ACCELERATE DIAGNOSTICS INC,acceleratediagnostics.com,AXDX,USA,AZ,Tucson,84184,Very High,41296-33,Accelerate Diagnostics,www.acceleratediagnostics.com,Yes,Yes,No,Yes,true
ACCELERON PHARMA INC,,XLRN,USA,MA,Cambridge,14176,Very High,42935-77,Acceleron Pharma,www.acceleronpharma.com,Yes,No,No,No,false
ACCENTURE PLC,accenture.com,ACN,IRL,,Dublin,89071,Very High,10568-26,Accenture,www.accenture.com,Yes,Yes,Yes,Yes,true
ACCESS NATIONAL CORP,,ANCX,USA,VA,Reston,90274,Very High,41543-83,Access National Bank,,Yes,Yes,No,Yes,true
ACCO BRANDS CORP,accobrands.com,ACCO,USA,IL,Lake Zurich,90825,Very High,41562-01,ACCO Brands,www.accobrands.com,Yes,Yes,No,No,true
ACCOLADE INC,accolade.com,ACCD,USA,PA,Plymouth Meeting,19496,Very High,56993-50,Accolade,www.accolade.com,Yes,Yes,No,No,true
ACCURAY INC,accuray.com,ARAY,USA,CA,Sunnyvale,91814,Very High,41521-15,Accuray,www.accuray.com,Yes,Yes,No,No,true
ACELRX PHARMACEUTICALS INC,acelrx.com,ACRX,USA,CA,Hayward,12573,Very High,51276-79,AcelRx Pharmaceuticals,www.acelrx.com,Yes,Yes,No,No,true
ACERAGEN INC,aceragen.com,IDRA,USA,PA,Exton,82824,High,465724-72,Aceragen,www.aceragen.com,Yes,Yes,No,No,true
ACETO CORP,actylis.com,ACET,USA,NY,Port Washington,10656,Very High,41119-48,Actylis,www.actylis.com,Yes,Yes,No,No,true
ACHAOGEN INC,achaogen.com,AKAO,USA,CA,South San Francisco,14530,Very High,45710-20,Achaogen,www.achaogen.com,Yes,Yes,No,No,true
ACHILLION PHARMACEUTICALS,achillion.com,ACHN,USA,PA,Blue Bell,91491,High,,,,,,,,true
ACI WORLDWIDE INC,aciworldwide.com,ACIW,USA,FL,Coral Gables,81282,Very High,12239-38,ACI Worldwide,www.aciworldwide.com,Yes,Yes,No,No,true
ACLARIS THERAPEUTICS INC,aclaristx.com,ACRS,USA,PA,Wayne,15775,Very High,55473-22,Aclaris Therapeutics,www.aclaristx.com,Yes,Yes,No,No,true
ACM RESEARCH INC,acmrcsh.com,ACMR,USA,CA,Fremont,17045,Very High,125110-81,ACM Research,www.acmrcsh.com,Yes,No,No,No,true
ACNB CORP,acnb.com,ACNB,USA,PA,Gettysburg,12480,Very High,41034-97,ACNB Bank,,Yes,Yes,No,Yes,true
ACORDA THERAPEUTICS INC,acorda.com,ACOR,USA,NY,Pearl River,91086,Very High,40675-06,Acorda Therapeutics,www.acorda.com,Yes,Yes,No,No,true
ACRES COMMERCIAL REALTY CORP,acresreit.com,XAN,USA,NY,Uniondale,91119,,,,,,,,,
ACTIVISION BLIZZARD INC,activisionblizzard.com,ATVI,USA,CA,Santa Monica,79678,Very High,41949-28,Activision Blizzard,www.activisionblizzard.com,Yes,Yes,No,No,true
ACTUA CORP,actua.com,ACTA,USA,PA,Radnor,87167,Very High,11211-58,Actua,www.actua.com,Yes,Yes,No,No,true
ACUITY BRANDS INC,acuitybrands.com,AYI,USA,GA,Atlanta,89216,Very High,13146-31,Acuity Brands,www.acuitybrands.com,Yes,Yes,No,No,true
ACUSHNET HOLDINGS CORP,acushnetholdingscorp.com,GOLF,USA,MA,Fairhaven,16434,Very High,51676-48,Acushnet Holdings,www.acushnetholdingscorp.com,Yes,Yes,No,Yes,true
ACUTUS MEDICAL INC,acutusmedical.com,AFIB,USA,CA,Carlsbad,19619,Very High,52497-91,Acutus Medical,www.acutusmedical.com,Yes,Yes,No,No,true
ACV AUCTIONS INC,acvauctions.com,ACVA,USA,NY,Buffalo,20657,Very High,118991-98,ACV Auctions,www.acvauctions.com,Yes,Yes,No,No,true
ADAMAS PHARMACEUTICALS INC,adamaspharma.com,ADMS,USA,CA,EmeryVille,14589,Very High,52811-83,Adamas Pharmaceuticals,www.adamaspharma.com,Yes,Yes,No,No,true
ADAMS RESOURCES & ENERGY INC,adamsresources.com,AE,USA,TX,Houston,61487,Very High,41945-95,Adams Resources & Energy,www.adamsresources.com,Yes,Yes,No,No,true
ADAPTHEALTH CORP,adapthealth.com,AHCO,USA,PA,Plymouth Meeting,17684,Very High,62276-77,AdaptHealth,www.adapthealth.com,Yes,Yes,No,No,true
ADAPTIVE BIOTECH CORP,adaptivebiotech.com,ADPT,USA,WA,Seattle,18769,Very High,57940-03,Adaptive Biotechnologies,www.adaptivebiotech.com,Yes,Yes,No,No,true
ADDUS HOMECARE CORP,addus.com,ADUS,USA,TX,Frisco,93073,Very High,10868-50,Addus HomeCare,www.addus.com,Yes,Yes,No,No,true
ADEIA INC,adeia.com,ADEA,USA,CA,San Jose,89922,Very High,521426-17,Adeia,www.adeia.com,Yes,No,No,No,true
ADEPTUS HEALTH INC,adhc.com,ADPT,USA,TX,Austin,14713,Very High,65380-96,Adeptus Health,www.adpt.com,Yes,Yes,No,No,true
ADESTO TECHNOLOGIES CORP,adestotech.com,IOTS,USA,CA,Santa Clara,15786,Very High,52964-20,Adesto Technologies,www.adestotech.com,Yes,Yes,No,No,true
ADIENT PLC,adient.com,ADNT,IRL,,Dublin,16342,High,167259-16,Adient,www.adient.com,Yes,Yes,No,Yes,true
ADMA BIOLOGICS INC,admabiologics.com,ADMA,USA,NJ,Ramsey,15056,Very High,54413-92,ADMA Biologics,www.admabiologics.com,Yes,Yes,No,No,true
ADOBE INC,adobe.com,ADBE,USA,CA,San Jose,75510,Very High,41955-58,Adobe,www.adobe.com,Yes,Yes,No,No,true
ADT INC,adt.com,ADT,USA,FL,Boca Raton,17223,Very High,25354-54,ADT Security Services,www.adt.com,Yes,Yes,No,No,true
ADTALEM GLOBAL EDUCATION INC,adtalem.com,ATGE,USA,IL,Chicago,76708,Very High,11960-29,Adtalem Global Education,www.adtalem.com,Yes,Yes,No,No,true
ADTRAN HOLDINGS INC,adtran.com,ADTN,USA,AL,Huntsville,80791,Very High,41184-28,Adtran,www.adtran.com,Yes,Yes,No,No,true
ADURO BIOTECH INC,chinooktx.com,KDNY,USA,WA,Berkeley,15282,,,,,,,,,
ADVANCE AUTO PARTS INC,advanceautoparts.com,AAP,USA,NC,Raleigh,89217,Very High,12199-06,Advance Auto Parts,corp.advanceautoparts.com,Yes,Yes,No,No,true
ADVANCED DISPOSAL SERVICES,,ADSW,USA,FL,Ponte Vedra,16435,Very High,10542-88,Advanced Disposal,www.advanceddisposal.com,Yes,Yes,No,No,false
ADVANCED DRAINAGE SYSTEMS,adspipe.com,WMS,USA,OH,Hilliard,14759,Very High,11672-11,Advanced Drainage Systems,www.adspipe.com,Yes,Yes,No,No,true
ADVANCED EMISSIONS SOLUTIONS,advancedemissionssolutions.com,ADES,USA,CO,Greenwood Village,90400,Very High,25265-35,Advanced Emissions Solutions,www.advancedemissionssolutions.com,Yes,Yes,No,No,true
ADVANCED ENERGY INDS INC,advancedenergy.com,AEIS,USA,CO,Denver,82547,Very High,41935-24,Advanced Energy Industries,www.advancedenergy.com,Yes,Yes,No,No,true
ADVANCED MICRO DEVICES,amd.com,AMD,USA,CA,Santa Clara,61241,Very High,12221-02,Advanced Micro Devices,www.amd.com,Yes,Yes,No,No,true
ADVANCEPIERRE FOODS HOLDINGS,,APFH,USA,OH,Cincinnati,16149,Very High,385939-90,Advancepierre Foods Holdings,investors.advancepierre.com,Yes,No,No,No,false
ADVANSIX INC,advansix.com,ASIX,USA,NJ,Parsippany,16276,Very High,167109-85,AdvanSix,www.advansix.com,Yes,Yes,No,No,true
ADVANTAGE SOLUTIONS INC,advantagesolutions.net,ADV,USA,CA,Irvine,18953,Very High,10810-72,Advantage Solutions (Irvine),www.advantagesolutions.net,Yes,Yes,No,No,true
ADVAXIS INC-OLD,advaxis.com,ADXS,USA,NJ,Monmouth Junction,14237,Very High,42157-36,Advaxis,www.advaxis.com,Yes,Yes,No,No,true
ADVERUM BIOTECHNOLOGIES,adverum.com,ADVM,USA,CA,Redwood City,14790,Very High,59995-99,Adverum Biotechnologies,www.adverum.com,Yes,Yes,No,No,true
ADVISORY BOARD CO,advisory.com,ABCO,USA,DC,Washington,89203,Very High,53687-26,The Advisory Board Company,www.advisory.com,Yes,Yes,No,No,true
AECOM,aecom.com,ACM,USA,TX,Dallas,91975,Very High,10810-45,AECOM,www.aecom.com,Yes,Yes,No,Yes,true
AEGION CORP,aegion.com,AEGN,USA,MO,Saint Louis,44274,Very High,40363-30,Aegion,www.aegion.com,Yes,Yes,No,No,true
AEGLEA BIOTHERAPEUTICS INC,aegleabio.com,AGLE,USA,TX,Austin,16005,Very High,61057-90,Aeglea BioTherapeutics,www.aeglea.com,Yes,No,No,No,true
AEMETIS INC,aemetis.com,AMTX,USA,CA,Cupertino,14689,Very High,42028-48,Aemetis,www.aemetis.com,Yes,Yes,No,No,true
AEP INDUSTRIES INC,aepinc.com,AEPI,USA,NJ,Montvale,10025,Very High,41131-72,AEP Industries,www.aepinc.com,Yes,Yes,No,No,true
AERIE PHARMACEUTICALS INC,,AERI,USA,NC,Durham,14238,Very High,42880-69,Aerie Pharmaceuticals,www.aeriepharma.com,Yes,Yes,No,No,false
AEROHIVE NETWORKS INC,aerohive.com,HIVE,USA,CA,Milpitas,14498,Very High,42168-34,Aerohive Networks,www.aerohive.com,Yes,Yes,No,No,true
AEROJET ROCKETDYNE HOLDINGS,aerojetrocketdyne.com,AJRD,USA,CA,El Segundo,20765,Very High,11738-35,Aerojet Rocketdyne Holdings,ir.aerojetrocketdyne.com,Yes,Yes,No,No,true
AEROVIRONMENT INC,avinc.com,AVAV,USA,VA,Arlington,91733,Very High,41624-74,AeroVironment,www.avinc.com,Yes,Yes,No,Yes,true
AERSALE CORP,aersale.com,ASLE,USA,FL,Coral Gables,18410,Very High,42462-64,AerSale,www.aersale.com,Yes,Yes,No,No,true
AES CORP (THE),aes.com,AES,USA,VA,Arlington,76712,Very High,10674-19,AES,www.aes.com,Yes,Yes,No,No,true
AETNA INC,aetna.com,AET,USA,CT,Hartford,88845,Very High,11543-32,Aetna,www.aetna.com,Yes,Yes,Yes,No,true
AEVA TECHNOLOGIES INC,aeva.com,AEVA,USA,CA,Mountain View,19224,Very High,170072-83,Aeva,www.aeva.com,Yes,Yes,No,No,true
AEVI GENOMIC MEDICINE INC,,GNMX,USA,PA,Wayne,12667,Very High,11066-68,Aevi Genomic Medicine,www.aevigenomics.com,Yes,Yes,No,No,false
AFC GAMMA INC,afcgamma.com,AFCG,USA,FL,West Palm Beach,20764,Very High,435668-32,AFC Gamma,www.afcgamma.com,Yes,No,No,Yes,true
AFFILIATED MANAGERS GRP INC,amg.com,AMG,USA,FL,West Palm Beach,85593,Very High,10930-24,Affiliated Managers Group,www.amg.com,Yes,Yes,Yes,Yes,true
AFFIMED NV,affimed.com,AFMD,DEU,,Heidelberg,14923,Very High,54789-67,Affimed,affimed.com,Yes,Yes,No,No,true
AFFIRM HOLDINGS INC,affirm.com,AFRM,USA,CA,San Francisco,20339,Very High,56914-48,Affirm,www.affirm.com,Yes,Yes,No,No,true
AFLAC INC,aflac.com,AFL,USA,GA,Columbus,57904,Very High,41076-91,Aflac,www.aflac.com,Yes,Yes,No,No,true
AG MORTGAGE INVESTMENT TRUST,agmit.com,MITT,USA,NY,New York,12828,Very High,517308-67,AG Mortgage Investment Trust,www.agmortgageinvestmenttrust.com,Yes,No,No,No,true
AGCO CORP,agcocorp.com,AGCO,USA,GA,Duluth,77520,Very High,13356-82,AGCO,www.agcocorp.com,Yes,Yes,No,No,true
